chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	score	pvalue	qvalue
chr2L	1420501	1421000	chr2L	1420501	1421000	2841	2841	0.6915669653	0.0000000000	0.0000000000
chr2L	1491501	1492000	chr2L	1491501	1492000	2983	2983	0.2831981973	0.0003625891	0.0004642338
chr2L	1504001	1504500	chr2L	1504001	1504500	3008	3008	0.3637106931	0.0000030387	0.0000044641
chr2L	1517501	1518000	chr2L	1517501	1518000	3035	3035	0.7281864346	0.0000000000	0.0000000000
chr2L	1526001	1526500	chr2L	1526001	1526500	3052	3052	0.4253511200	0.0000000265	0.0000000448
chr2L	1575501	1576000	chr2L	1575501	1576000	3151	3151	0.2725076181	0.0007940882	0.0009934641
chr2L	1614001	1614500	chr2L	1614001	1614500	3228	3228	0.5759303887	0.0000000000	0.0000000000
chr2L	1704501	1705000	chr2L	1704501	1705000	3409	3409	0.6768038614	0.0000000000	0.0000000000
chr2L	1710001	1710500	chr2L	1710001	1710500	3420	3420	0.1894246443	0.0188578108	0.0215319557
chr2L	1715501	1716000	chr2L	1715501	1716000	3431	3431	0.5098334059	0.0000000000	0.0000000000
chr2L	1725001	1725500	chr2L	1725001	1725500	3450	3450	0.2311565046	0.0039367858	0.0047015143
chr2L	1728001	1728500	chr2L	1728001	1728500	3456	3456	0.4162683140	0.0000000571	0.0000000942
chr2L	1732501	1733000	chr2L	1732501	1733000	3465	3465	0.6701427812	0.0000000000	0.0000000000
chr2L	1884001	1884500	chr2L	1884001	1884500	3768	3768	0.4266605065	0.0000000237	0.0000000402
chr2L	1909501	1910000	chr2L	1909501	1910000	3819	3819	0.4648050417	0.0000000007	0.0000000013
chr2L	1920001	1920500	chr2L	1920001	1920500	3840	3840	0.0444201934	0.5861715535	0.6019511055
chr2L	1954001	1954500	chr2L	1954001	1954500	3908	3908	0.3856887064	0.0000006314	0.0000009673
chr2L	1973001	1973500	chr2L	1973001	1973500	3946	3946	0.6876882239	0.0000000000	0.0000000000
chr2L	1981001	1981500	chr2L	1981001	1981500	3962	3962	0.5309462858	0.0000000000	0.0000000000
chr2L	2009001	2009500	chr2L	2009001	2009500	4018	4018	0.5199675651	0.0000000000	0.0000000000
chr2L	2014001	2014500	chr2L	2014001	2014500	4028	4028	0.5918568169	0.0000000000	0.0000000000
chr2L	2032001	2032500	chr2L	2032001	2032500	4064	4064	0.2649096108	0.0008882285	0.0011081309
chr2L	2037001	2037500	chr2L	2037001	2037500	4074	4074	0.5404154725	0.0000000000	0.0000000000
chr2L	2046001	2046500	chr2L	2046001	2046500	4092	4092	0.4944194430	0.0000000000	0.0000000001
chr2L	2138001	2138500	chr2L	2138001	2138500	4276	4276	0.4504615087	0.0000000028	0.0000000050
chr2L	2145001	2145500	chr2L	2145001	2145500	4290	4290	0.6278906219	0.0000000000	0.0000000000
chr2L	2151501	2152000	chr2L	2151501	2152000	4303	4303	0.4375034919	0.0000000092	0.0000000160
chr2L	2155501	2156000	chr2L	2155501	2156000	4311	4311	0.5865780893	0.0000000000	0.0000000000
chr2L	2164501	2165000	chr2L	2164501	2165000	4329	4329	0.3205234491	0.0000472205	0.0000639407
chr2L	2192501	2193000	chr2L	2192501	2193000	4385	4385	0.7468851275	0.0000000000	0.0000000000
chr2L	2196001	2196500	chr2L	2196001	2196500	4392	4392	0.3669838219	0.0000024237	0.0000035798
chr2L	2214501	2215000	chr2L	2214501	2215000	4429	4429	0.3077226105	0.0000981866	0.0001301511
chr2L	2215501	2216000	chr2L	2215501	2216000	4431	4431	0.2458455581	0.0021125077	0.0025696839
chr2L	2216501	2217000	chr2L	2216501	2217000	4433	4433	0.4117617788	0.0000000827	0.0000001349
chr2L	2221501	2222000	chr2L	2221501	2222000	4443	4443	0.1302534631	0.1086286968	0.1183145225
chr2L	2226001	2226500	chr2L	2226001	2226500	4452	4452	0.2970632008	0.0001758934	0.0002295591
chr2L	2237001	2237500	chr2L	2237001	2237500	4474	4474	0.7463489067	0.0000000000	0.0000000000
chr2L	2357001	2357500	chr2L	2357001	2357500	4714	4714	0.3178488362	0.0000551863	0.0000743808
chr2L	2365001	2365500	chr2L	2365001	2365500	4730	4730	0.8145705254	0.0000000000	0.0000000000
chr2L	2375501	2376000	chr2L	2375501	2376000	4751	4751	0.6037927630	0.0000000000	0.0000000000
chr2L	2381501	2382000	chr2L	2381501	2382000	4763	4763	0.4617298415	0.0000000009	0.0000000018
chr2L	2382501	2383000	chr2L	2382501	2383000	4765	4765	0.4324577472	0.0000000143	0.0000000246
chr2L	2450001	2450500	chr2L	2450001	2450500	4900	4900	0.4233890046	0.0000000314	0.0000000526
chr2L	2456501	2457000	chr2L	2456501	2457000	4913	4913	0.4314666822	0.0000000156	0.0000000267
chr2L	2493001	2493500	chr2L	2493001	2493500	4986	4986	0.7359875374	0.0000000000	0.0000000000
chr2L	2556001	2556500	chr2L	2556001	2556500	5112	5112	0.1649472691	0.0414690244	0.0463934711
chr2L	2579001	2579500	chr2L	2579001	2579500	5158	5158	0.5586520104	0.0000000000	0.0000000000
chr2L	2585501	2586000	chr2L	2585501	2586000	5171	5171	0.7695411809	0.0000000000	0.0000000000
chr2L	2658501	2659000	chr2L	2658501	2659000	5317	5317	0.4204063458	0.0000000752	0.0000001231
chr2L	2703501	2704000	chr2L	2703501	2704000	5407	5407	0.6302377541	0.0000000000	0.0000000000
chr2L	2724501	2725000	chr2L	2724501	2725000	5449	5449	0.5185923488	0.0000000000	0.0000000000
chr2L	2739501	2740000	chr2L	2739501	2740000	5479	5479	0.5901936937	0.0000000000	0.0000000000
chr2L	2745001	2745500	chr2L	2745001	2745500	5490	5490	0.5066412916	0.0000000000	0.0000000000
chr2L	2750001	2750500	chr2L	2750001	2750500	5500	5500	0.6205080879	0.0000000000	0.0000000000
chr2L	2756501	2757000	chr2L	2756501	2757000	5513	5513	0.5805164715	0.0000000000	0.0000000000
chr2L	2808501	2809000	chr2L	2808501	2809000	5617	5617	0.1910059499	0.0178640552	0.0204373926
chr2L	2855501	2856000	chr2L	2855501	2856000	5711	5711	0.4081948628	0.0000001105	0.0000001787
chr2L	2874001	2874500	chr2L	2874001	2874500	5748	5748	0.6856613109	0.0000000000	0.0000000000
chr2L	2878501	2879000	chr2L	2878501	2879000	5757	5757	0.4868316158	0.0000000001	0.0000000001
chr2L	2885501	2886000	chr2L	2885501	2886000	5771	5771	0.6892075708	0.0000000000	0.0000000000
chr2L	2918001	2918500	chr2L	2918001	2918500	5836	5836	-0.1240213623	0.1268093265	0.1373767704
chr2L	2968501	2969000	chr2L	2968501	2969000	5937	5937	0.2534465897	0.0015075668	0.0018492926
chr2L	2979001	2979500	chr2L	2979001	2979500	5958	5958	0.5826424319	0.0000000000	0.0000000000
chr2L	2987501	2988000	chr2L	2987501	2988000	5975	5975	0.6911683151	0.0000000000	0.0000000000
chr2L	2992501	2993000	chr2L	2992501	2993000	5985	5985	0.5033241025	0.0000000000	0.0000000000
chr2L	2999501	3000000	chr2L	2999501	3000000	5999	5999	0.7429303425	0.0000000000	0.0000000000
chr2L	3018501	3019000	chr2L	3018501	3019000	6037	6037	0.1984507471	0.0137703877	0.0159223315
chr2L	3023001	3023500	chr2L	3023001	3023500	6046	6046	0.4603178661	0.0000000011	0.0000000020
chr2L	3029501	3030000	chr2L	3029501	3030000	6059	6059	0.5471002443	0.0000000000	0.0000000000
chr2L	3094501	3095000	chr2L	3094501	3095000	6189	6189	0.1166029883	0.1513969351	0.1628759446
chr2L	3108501	3109000	chr2L	3108501	3109000	6217	6217	0.5385905815	0.0000000000	0.0000000000
chr2L	3145001	3145500	chr2L	3145001	3145500	6290	6290	0.4171812693	0.0000000529	0.0000000876
chr2L	3152501	3153000	chr2L	3152501	3153000	6305	6305	-0.0010819257	0.9894276727	0.9898530501
chr2L	3159001	3159500	chr2L	3159001	3159500	6318	6318	0.3594215841	0.0000063419	0.0000091181
chr2L	3173001	3173500	chr2L	3173001	3173500	6346	6346	0.5621952202	0.0000000000	0.0000000000
chr2L	3233501	3234000	chr2L	3233501	3234000	6467	6467	0.2853663270	0.0003246364	0.0004170184
chr2L	3320501	3321000	chr2L	3320501	3321000	6641	6641	0.3644610645	0.0000028859	0.0000042449
chr2L	3372501	3373000	chr2L	3372501	3373000	6745	6745	0.5822667591	0.0000000000	0.0000000000
chr2L	3397001	3397500	chr2L	3397001	3397500	6794	6794	0.2222855945	0.0056289277	0.0066642151
chr2L	3452501	3453000	chr2L	3452501	3453000	6905	6905	0.6305488826	0.0000000000	0.0000000000
chr2L	3466001	3466500	chr2L	3466001	3466500	6932	6932	0.7692412709	0.0000000000	0.0000000000
chr2L	3470001	3470500	chr2L	3470001	3470500	6940	6940	0.7244133315	0.0000000000	0.0000000000
chr2L	3480501	3481000	chr2L	3480501	3481000	6961	6961	0.6300993731	0.0000000000	0.0000000000
chr2L	3530001	3530500	chr2L	3530001	3530500	7060	7060	0.4019883589	0.0000001812	0.0000002884
chr2L	3539001	3539500	chr2L	3539001	3539500	7078	7078	0.4371191786	0.0000000095	0.0000000165
chr2L	3580501	3581000	chr2L	3580501	3581000	7161	7161	0.5421558995	0.0000000000	0.0000000000
chr2L	3606001	3606500	chr2L	3606001	3606500	7212	7212	0.5932609225	0.0000000000	0.0000000000
chr2L	3618501	3619000	chr2L	3618501	3619000	7237	7237	0.5460552827	0.0000000000	0.0000000000
chr2L	3634001	3634500	chr2L	3634001	3634500	7268	7268	0.4887393216	0.0000000001	0.0000000001
chr2L	3663001	3663500	chr2L	3663001	3663500	7326	7326	0.0829246438	0.3087003245	0.3233606371
chr2L	3711501	3712000	chr2L	3711501	3712000	7423	7423	0.2725752322	0.0006149778	0.0007743795
chr2L	3770501	3771000	chr2L	3770501	3771000	7541	7541	0.4051796773	0.0000001407	0.0000002260
chr2L	3786001	3786500	chr2L	3786001	3786500	7572	7572	0.3109116136	0.0000820886	0.0001094044
chr2L	3803001	3803500	chr2L	3803001	3803500	7606	7606	0.5117103564	0.0000000000	0.0000000000
chr2L	3806001	3806500	chr2L	3806001	3806500	7612	7612	0.1624095988	0.0447630688	0.0499585905
chr2L	3813001	3813500	chr2L	3813001	3813500	7626	7626	0.4853697117	0.0000000001	0.0000000002
chr2L	3825001	3825500	chr2L	3825001	3825500	7650	7650	0.2804412105	0.0004167619	0.0005318371
chr2L	3836501	3837000	chr2L	3836501	3837000	7673	7673	0.4801920218	0.0000000001	0.0000000003
chr2L	3862001	3862500	chr2L	3862001	3862500	7724	7724	0.5788155773	0.0000000000	0.0000000000
chr2L	3868001	3868500	chr2L	3868001	3868500	7736	7736	0.0447285032	0.5835711889	0.5994130023
chr2L	3872501	3873000	chr2L	3872501	3873000	7745	7745	0.6114783428	0.0000000000	0.0000000000
chr2L	3908501	3909000	chr2L	3908501	3909000	7817	7817	0.2913470055	0.0002381338	0.0003087976
chr2L	4029501	4030000	chr2L	4029501	4030000	8059	8059	0.4657817885	0.0000000006	0.0000000012
chr2L	4031501	4032000	chr2L	4031501	4032000	8063	8063	0.5501513345	0.0000000000	0.0000000000
chr2L	4034501	4035000	chr2L	4034501	4035000	8069	8069	0.5855237122	0.0000000000	0.0000000000
chr2L	4054001	4054500	chr2L	4054001	4054500	8108	8108	0.6589003624	0.0000000000	0.0000000000
chr2L	4064001	4064500	chr2L	4064001	4064500	8128	8128	0.5469974019	0.0000000000	0.0000000000
chr2L	4071501	4072000	chr2L	4071501	4072000	8143	8143	0.4405148388	0.0000000111	0.0000000191
chr2L	4186501	4187000	chr2L	4186501	4187000	8373	8373	0.3348732231	0.0000256947	0.0000353170
chr2L	4227501	4228000	chr2L	4227501	4228000	8455	8455	0.5482459983	0.0000000000	0.0000000000
chr2L	4281001	4281500	chr2L	4281001	4281500	8562	8562	0.4842675580	0.0000000001	0.0000000002
chr2L	4345501	4346000	chr2L	4345501	4346000	8691	8691	0.5985544343	0.0000000000	0.0000000000
chr2L	4371501	4372000	chr2L	4371501	4372000	8743	8743	0.2495491297	0.0017946478	0.0021927779
chr2L	4386501	4387000	chr2L	4386501	4387000	8773	8773	0.4682938073	0.0000000005	0.0000000009
chr2L	4442001	4442500	chr2L	4442001	4442500	8884	8884	0.6247613364	0.0000000000	0.0000000000
chr2L	4454001	4454500	chr2L	4454001	4454500	8908	8908	0.5538274165	0.0000000000	0.0000000000
chr2L	4458501	4459000	chr2L	4458501	4459000	8917	8917	0.7965726600	0.0000000000	0.0000000000
chr2L	4463501	4464000	chr2L	4463501	4464000	8927	8927	0.7458799071	0.0000000000	0.0000000000
chr2L	4533001	4533500	chr2L	4533001	4533500	9066	9066	0.1702415362	0.0352456313	0.0396311110
chr2L	4691001	4691500	chr2L	4691001	4691500	9382	9382	0.4111418493	0.0000000870	0.0000001417
chr2L	4726001	4726500	chr2L	4726001	4726500	9452	9452	0.5930446685	0.0000000000	0.0000000000
chr2L	4794001	4794500	chr2L	4794001	4794500	9588	9588	0.3327499928	0.0000226923	0.0000312919
chr2L	4811501	4812000	chr2L	4811501	4812000	9623	9623	0.6373804909	0.0000000000	0.0000000000
chr2L	4818501	4819000	chr2L	4818501	4819000	9637	9637	0.6801805060	0.0000000000	0.0000000000
chr2L	4821501	4822000	chr2L	4821501	4822000	9643	9643	0.5062970704	0.0000000000	0.0000000000
chr2L	4830001	4830500	chr2L	4830001	4830500	9660	9660	0.5059042912	0.0000000000	0.0000000000
chr2L	4838001	4838500	chr2L	4838001	4838500	9676	9676	0.6878750252	0.0000000000	0.0000000000
chr2L	4848001	4848500	chr2L	4848001	4848500	9696	9696	0.4137988285	0.0000000700	0.0000001147
chr2L	4852001	4852500	chr2L	4852001	4852500	9704	9704	0.4426265340	0.0000000058	0.0000000102
chr2L	4889001	4889500	chr2L	4889001	4889500	9778	9778	0.3097218086	0.0000877826	0.0001167257
chr2L	4892001	4892500	chr2L	4892001	4892500	9784	9784	0.4230231505	0.0000000324	0.0000000542
chr2L	4944501	4945000	chr2L	4944501	4945000	9889	9889	0.3027183388	0.0001294809	0.0001703716
chr2L	4949501	4950000	chr2L	4949501	4950000	9899	9899	0.4107417812	0.0000000899	0.0000001462
chr2L	4955501	4956000	chr2L	4955501	4956000	9911	9911	0.2556632886	0.0013635718	0.0016801861
chr2L	4967501	4968000	chr2L	4967501	4968000	9935	9935	0.5133084521	0.0000000000	0.0000000000
chr2L	4971001	4971500	chr2L	4971001	4971500	9942	9942	0.3987227579	0.0000002341	0.0000003687
chr2L	4976501	4977000	chr2L	4976501	4977000	9953	9953	0.3534870238	0.0000060541	0.0000087097
chr2L	4981501	4982000	chr2L	4981501	4982000	9963	9963	0.1651143749	0.0412594144	0.0461811724
chr2L	5000501	5001000	chr2L	5000501	5001000	10001	10001	0.5875073511	0.0000000000	0.0000000000
chr2L	5009501	5010000	chr2L	5009501	5010000	10019	10019	0.5846558876	0.0000000000	0.0000000000
chr2L	5042501	5043000	chr2L	5042501	5043000	10085	10085	0.3498657829	0.0000076813	0.0000109558
chr2L	5054501	5055000	chr2L	5054501	5055000	10109	10109	0.5645491991	0.0000000000	0.0000000000
chr2L	5059501	5060000	chr2L	5059501	5060000	10119	10119	0.5743587000	0.0000000000	0.0000000000
chr2L	5070501	5071000	chr2L	5070501	5071000	10141	10141	0.6140557691	0.0000000000	0.0000000000
chr2L	5093001	5093500	chr2L	5093001	5093500	10186	10186	0.6251996253	0.0000000000	0.0000000000
chr2L	5100001	5100500	chr2L	5100001	5100500	10200	10200	0.4987135129	0.0000000000	0.0000000000
chr2L	5237501	5238000	chr2L	5237501	5238000	10475	10475	0.4320343280	0.0000000149	0.0000000255
chr2L	5270501	5271000	chr2L	5270501	5271000	10541	10541	0.7427157793	0.0000000000	0.0000000000
chr2L	5278001	5278500	chr2L	5278001	5278500	10556	10556	0.5413707637	0.0000000000	0.0000000000
chr2L	5306001	5306500	chr2L	5306001	5306500	10612	10612	0.6610182602	0.0000000000	0.0000000000
chr2L	5327001	5327500	chr2L	5327001	5327500	10654	10654	0.6632260034	0.0000000000	0.0000000000
chr2L	5366001	5366500	chr2L	5366001	5366500	10732	10732	0.6500383639	0.0000000000	0.0000000000
chr2L	5403501	5404000	chr2L	5403501	5404000	10807	10807	0.6022895610	0.0000000000	0.0000000000
chr2L	5461001	5461500	chr2L	5461001	5461500	10922	10922	0.5713795401	0.0000000000	0.0000000000
chr2L	5517501	5518000	chr2L	5517501	5518000	11035	11035	0.5020196565	0.0000000000	0.0000000000
chr2L	5527001	5527500	chr2L	5527001	5527500	11054	11054	0.4720367119	0.0000000003	0.0000000007
chr2L	5542001	5542500	chr2L	5542001	5542500	11084	11084	0.6000756286	0.0000000000	0.0000000000
chr2L	5547001	5547500	chr2L	5547001	5547500	11094	11094	0.6382459641	0.0000000000	0.0000000000
chr2L	5551001	5551500	chr2L	5551001	5551500	11102	11102	0.6224982571	0.0000000000	0.0000000000
chr2L	5613001	5613500	chr2L	5613001	5613500	11226	11226	0.1723098844	0.0330378838	0.0372296153
chr2L	5720501	5721000	chr2L	5720501	5721000	11441	11441	0.5907330611	0.0000000000	0.0000000000
chr2L	5724501	5725000	chr2L	5724501	5725000	11449	11449	0.6679846409	0.0000000000	0.0000000000
chr2L	5771501	5772000	chr2L	5771501	5772000	11543	11543	0.4685933898	0.0000000005	0.0000000009
chr2L	5789501	5790000	chr2L	5789501	5790000	11579	11579	0.1096774487	0.1774351886	0.1896173060
chr2L	5800001	5800500	chr2L	5800001	5800500	11600	11600	0.6899059261	0.0000000000	0.0000000000
chr2L	5805001	5805500	chr2L	5805001	5805500	11610	11610	0.6723727931	0.0000000000	0.0000000000
chr2L	5870501	5871000	chr2L	5870501	5871000	11741	11741	0.2406467538	0.0026447839	0.0031929506
chr2L	5879001	5879500	chr2L	5879001	5879500	11758	11758	0.1590165047	0.0495051053	0.0550529892
chr2L	5907001	5907500	chr2L	5907001	5907500	11814	11814	0.7126482162	0.0000000000	0.0000000000
chr2L	5943501	5944000	chr2L	5943501	5944000	11887	11887	0.4897972471	0.0000000001	0.0000000001
chr2L	5949001	5949500	chr2L	5949001	5949500	11898	11898	0.3855610963	0.0000006374	0.0000009759
chr2L	5965001	5965500	chr2L	5965001	5965500	11930	11930	-0.1777950267	0.0277413003	0.0313749724
chr2L	5981001	5981500	chr2L	5981001	5981500	11962	11962	0.5676157705	0.0000000000	0.0000000000
chr2L	5985501	5986000	chr2L	5985501	5986000	11971	11971	0.5244577108	0.0000000000	0.0000000000
chr2L	5999001	5999500	chr2L	5999001	5999500	11998	11998	0.3699563222	0.0000019691	0.0000029222
chr2L	6024501	6025000	chr2L	6024501	6025000	12049	12049	0.4592245105	0.0000000012	0.0000000022
chr2L	6037001	6037500	chr2L	6037001	6037500	12074	12074	0.5073781477	0.0000000000	0.0000000000
chr2L	6048501	6049000	chr2L	6048501	6049000	12097	12097	0.4757281705	0.0000000002	0.0000000005
chr2L	6049501	6050000	chr2L	6049501	6050000	12099	12099	0.2818337544	0.0003885303	0.0004964910
chr2L	6050001	6050500	chr2L	6050001	6050500	12100	12100	0.3353924774	0.0000192829	0.0000267012
chr2L	6063001	6063500	chr2L	6063001	6063500	12126	12126	0.4532087785	0.0000000022	0.0000000039
chr2L	6071001	6071500	chr2L	6071001	6071500	12142	12142	0.4003494408	0.0000002061	0.0000003263
chr2L	6075001	6075500	chr2L	6075001	6075500	12150	12150	0.4455405429	0.0000000044	0.0000000078
chr2L	6091501	6092000	chr2L	6091501	6092000	12183	12183	0.4041149893	0.0000001531	0.0000002457
chr2L	6099001	6099500	chr2L	6099001	6099500	12198	12198	0.5596356076	0.0000000000	0.0000000000
chr2L	6124501	6125000	chr2L	6124501	6125000	12249	12249	0.5910560553	0.0000000000	0.0000000000
chr2L	6178501	6179000	chr2L	6178501	6179000	12357	12357	0.4124038157	0.0000000785	0.0000001282
chr2L	6229001	6229500	chr2L	6229001	6229500	12458	12458	0.2593255526	0.0011528673	0.0014269799
chr2L	6323501	6324000	chr2L	6323501	6324000	12647	12647	0.7928359714	0.0000000000	0.0000000000
chr2L	6338501	6339000	chr2L	6338501	6339000	12677	12677	0.7030134972	0.0000000000	0.0000000000
chr2L	6356501	6357000	chr2L	6356501	6357000	12713	12713	0.3320799145	0.0000236428	0.0000325639
chr2L	6373501	6374000	chr2L	6373501	6374000	12747	12747	0.7479946836	0.0000000000	0.0000000000
chr2L	6377001	6377500	chr2L	6377001	6377500	12754	12754	0.6820596662	0.0000000000	0.0000000000
chr2L	6455501	6456000	chr2L	6455501	6456000	12911	12911	0.4968332958	0.0000000000	0.0000000001
chr2L	6467501	6468000	chr2L	6467501	6468000	12935	12935	0.2419494002	0.0025011238	0.0030257941
chr2L	6473501	6474000	chr2L	6473501	6474000	12947	12947	0.4714663706	0.0000000004	0.0000000007
chr2L	6480501	6481000	chr2L	6480501	6481000	12961	12961	0.6090069584	0.0000000000	0.0000000000
chr2L	6490001	6490500	chr2L	6490001	6490500	12980	12980	0.3087703221	0.0000925989	0.0001229895
chr2L	6498501	6499000	chr2L	6498501	6499000	12997	12997	0.7153305339	0.0000000000	0.0000000000
chr2L	6527001	6527500	chr2L	6527001	6527500	13054	13054	0.7527209373	0.0000000000	0.0000000000
chr2L	6535501	6536000	chr2L	6535501	6536000	13071	13071	0.1794421491	0.0262993028	0.0297875287
chr2L	6557501	6558000	chr2L	6557501	6558000	13115	13115	0.6981928309	0.0000000000	0.0000000000
chr2L	6562001	6562500	chr2L	6562001	6562500	13124	13124	0.4461279222	0.0000000042	0.0000000074
chr2L	6566501	6567000	chr2L	6566501	6567000	13133	13133	0.7285659804	0.0000000000	0.0000000000
chr2L	6567501	6568000	chr2L	6567501	6568000	13135	13135	0.4989017784	0.0000000000	0.0000000000
chr2L	6569001	6569500	chr2L	6569001	6569500	13138	13138	0.4531018044	0.0000000022	0.0000000040
chr2L	6611001	6611500	chr2L	6611001	6611500	13222	13222	0.7596338045	0.0000000000	0.0000000000
chr2L	6622501	6623000	chr2L	6622501	6623000	13245	13245	0.5340434680	0.0000000000	0.0000000000
chr2L	6647501	6648000	chr2L	6647501	6648000	13295	13295	0.5298825391	0.0000000000	0.0000000000
